Epoch	Learning Rate	Train Loss	
1.000000	0.100000	3.747970	
2.000000	0.100000	2.863185	
3.000000	0.100000	2.429719	
4.000000	0.100000	2.203362	
5.000000	0.100000	2.033083	
6.000000	0.100000	1.908936	
7.000000	0.100000	1.844029	
8.000000	0.100000	1.756132	
9.000000	0.100000	1.673790	
10.000000	0.100000	1.637811	
11.000000	0.100000	1.595735	
12.000000	0.100000	1.536517	
13.000000	0.100000	1.506304	
14.000000	0.100000	1.494309	
15.000000	0.100000	1.458425	
16.000000	0.100000	1.442435	
17.000000	0.100000	1.422537	
18.000000	0.100000	1.408165	
19.000000	0.100000	1.359487	
20.000000	0.100000	1.334184	
21.000000	0.100000	1.308750	
22.000000	0.100000	1.304082	
23.000000	0.100000	1.268925	
24.000000	0.100000	1.275620	
25.000000	0.100000	1.245840	
26.000000	0.100000	1.226145	
27.000000	0.100000	1.227534	
28.000000	0.100000	1.205487	
29.000000	0.100000	1.183762	
30.000000	0.100000	1.208885	
31.000000	0.100000	1.194079	
32.000000	0.100000	1.160659	
33.000000	0.100000	1.155957	
34.000000	0.100000	1.144316	
35.000000	0.100000	1.123558	
36.000000	0.100000	1.103627	
37.000000	0.100000	1.090594	
38.000000	0.100000	1.090611	
39.000000	0.100000	1.078357	
40.000000	0.100000	1.075836	
41.000000	0.100000	1.074224	
42.000000	0.100000	1.056638	
43.000000	0.100000	1.066971	
44.000000	0.100000	1.042192	
45.000000	0.100000	1.025342	
46.000000	0.100000	1.017696	
47.000000	0.100000	1.012663	
48.000000	0.100000	1.007145	
49.000000	0.100000	1.020794	
50.000000	0.100000	1.003706	
51.000000	0.100000	0.977462	
52.000000	0.100000	0.983366	
53.000000	0.100000	1.006141	
54.000000	0.100000	0.976743	
55.000000	0.100000	0.973905	
56.000000	0.100000	0.959761	
57.000000	0.100000	0.950787	
58.000000	0.100000	0.952560	
59.000000	0.100000	0.946204	
60.000000	0.100000	0.929823	
61.000000	0.100000	0.919859	
62.000000	0.100000	0.905127	
63.000000	0.100000	0.892834	
64.000000	0.100000	0.904160	
65.000000	0.100000	0.935195	
66.000000	0.100000	0.900548	
67.000000	0.100000	0.910656	
68.000000	0.100000	0.907909	
69.000000	0.100000	0.885462	
70.000000	0.100000	0.871140	
71.000000	0.100000	0.875825	
72.000000	0.100000	0.878069	
73.000000	0.100000	0.872412	
74.000000	0.100000	0.858328	
75.000000	0.100000	0.863397	
76.000000	0.100000	0.854997	
77.000000	0.100000	0.863056	
78.000000	0.100000	0.846598	
79.000000	0.100000	0.837482	
80.000000	0.100000	0.834623	
81.000000	0.100000	0.848909	
82.000000	0.100000	0.843554	
83.000000	0.100000	0.848652	
84.000000	0.100000	0.828159	
85.000000	0.100000	0.835347	
86.000000	0.100000	0.821133	
87.000000	0.100000	0.821096	
88.000000	0.100000	0.813706	
89.000000	0.100000	0.807175	
90.000000	0.100000	0.794975	
91.000000	0.100000	0.816526	
92.000000	0.100000	0.816718	
93.000000	0.100000	0.804646	
94.000000	0.100000	0.802072	
95.000000	0.100000	0.805158	
96.000000	0.100000	0.808422	
97.000000	0.100000	0.815552	
98.000000	0.100000	0.816979	
99.000000	0.100000	0.797100	
100.000000	0.100000	0.787988	
101.000000	0.100000	0.815750	
102.000000	0.100000	0.782784	
103.000000	0.100000	0.774817	
104.000000	0.100000	0.782168	
105.000000	0.100000	0.770685	
106.000000	0.100000	0.760969	
107.000000	0.100000	0.785861	
108.000000	0.100000	0.757636	
109.000000	0.100000	0.746587	
110.000000	0.100000	0.758864	
111.000000	0.100000	0.753774	
112.000000	0.100000	0.761235	
113.000000	0.100000	0.738121	
114.000000	0.100000	0.737175	
115.000000	0.100000	0.741523	
116.000000	0.100000	0.751066	
117.000000	0.100000	0.742439	
118.000000	0.100000	0.750020	
119.000000	0.100000	0.727572	
120.000000	0.100000	0.749399	
121.000000	0.100000	0.741884	
122.000000	0.100000	0.732838	
123.000000	0.100000	0.743010	
124.000000	0.100000	0.728773	
125.000000	0.100000	0.720307	
126.000000	0.100000	0.735122	
127.000000	0.100000	0.732617	
128.000000	0.100000	0.717276	
129.000000	0.100000	0.719244	
130.000000	0.100000	0.729106	
131.000000	0.100000	0.730224	
132.000000	0.100000	0.738723	
133.000000	0.100000	0.705778	
134.000000	0.100000	0.715919	
135.000000	0.100000	0.713694	
136.000000	0.100000	0.702911	
137.000000	0.100000	0.712033	
138.000000	0.100000	0.723061	
139.000000	0.100000	0.714740	
140.000000	0.100000	0.713735	
141.000000	0.100000	0.705849	
142.000000	0.100000	0.697947	
143.000000	0.100000	0.710405	
144.000000	0.100000	0.715338	
145.000000	0.100000	0.699989	
146.000000	0.100000	0.692729	
147.000000	0.100000	0.695683	
148.000000	0.100000	0.700366	
149.000000	0.100000	0.699633	
150.000000	0.100000	0.696523	
